news_source,bias,reporting,country,references
Realm of History,Pro-Science,High,,"4,491"
Reason,Right-Center,High,United States,"2,279,682"
Recode,Least Biased,High,United States,"431,379"
Red Pepper,Left,High,,"152,227"
Red River Valley News,Right-Center,High,United States,"232,238"
Red State Disaster,Left,High,,4
Red Orbit,Pro-Science,High,,"140,062"
Regina Leader-Post,Right-Center,High,Canada,"376,015"
Relevant Magazine,Least Biased,High,,"312,000"
Religion News Service,Left-Center,High,,"230,397"
Remington Research Group,Right-Center,High,,332
Reno Gazette Journal,Left-Center,High,United States,"1,108,668"
Reporter Without Borders,Least Biased,High,,"612,163"
Represent.us,Least Biased,High,United States,"66,195"
Republic Report,Left,High,,"55,030"
The Republican (Masslive),Least Biased,High,United States,"3,347,341"
Republicans Suck,Left,High,,"2,173"
ResearchGate,Pro-Science,High,,"5,134,661"
Resource Watch,Pro-Science,High,,"50,190"
Restore American Glory,Right,High,,"2,470"
Retraction Watch,Pro-Science,High,United States,"281,494"
Reveal - Center for Investigative Reporting,Left-Center,High,United States,"155,962"
Revolution News,Left,High,Unknown or Invalid Region,"17,094"
ReWire.news,Left,High,United States,"245,087"
Right Web,Left-Center,High,,"33,867"
Ring of Fire,Left,High,United States,"164,019"
Riverdale Press,Least Biased,High,United States,0
Rock Hill Herald,Left-Center,High,United States,0
Rolling Stone,Left,High,United States,"3,890,438"
Roosevelt Institute,Left-Center,High,United States,"50,144"
RTE (Radio Television of Ireland),Least Biased,High,Ireland,"819,926"
Rudaw,Left-Center,High,,"24,887"
Russian Media Monitor,Least Biased,High,United States,"8,522"
Sacramento Bee,Left-Center,High,United States,"1,911,665"
Salem Radio Network News,Right-Center,High,United States,"150,090"
Salon,Left,High,United States,"2,970,380"
Salt Lake Tribune,Left-Center,High,United States,"725,600"
San Antonio Express,Left-Center,High,United States,"1,767,385"
San Bernadino Sun,Right-Center,High,United States,"432,828"
San Diego Free Press,Left-Center,High,United States,"64,688"
San Diego Reader,Left-Center,High,United States,"565,345"
San Diego Union Tribune,Least Biased,High,United States,"1,268,986"
San Francisco Chronicle,Left-Center,High,United States,"1,502,415"
San Francisco Examiner,Left-Center,High,United States,"41,697"
San Jose Mercury News,Left-Center,High,United States,"1,457,611"
San Luis Obispo Tribune,Left-Center,High,United States,0
San Marcos Daily Record,Least Biased,High,United States,"19,610"
Santa Barbara Independent,Left-Center,High,United States,"129,663"
Santa Maria Times,Least Biased,High,United States,"103,021"
Sapiens,Left-Center,High,United States,571
Sarasota Herald-Tribune,Least Biased,High,United States,"174,015"
Saskatoon StarPhoenix,Right-Center,High,United States,"382,313"
Saudi Gazette,Left-Center,High,Saudi Arabia,"353,717"
Savannah Morning News,Right-Center,High,United States,"631,217"
Save Jersey,Right,High,United States,"31,530"
Sayfie Review,Least Biased,High,United States,"157,963"
Scary Mommy,Left,High,United States,"218,847"
SciCentral,Pro-Science,High,,"20,819"
Science Based Medicine,Pro-Science,High,United States,"201,103"
Science History Institute,Pro-Science,High,United States,"50,316"
Science Media Centre,Pro-Science,High,United Kingdom,"31,778"
Science News,Pro-Science,High,,"471,063"
Science Trends,Pro-Science,High,,"7,884"
ScienceAlert,Pro-Science,High,Australia,"201,938"
Science Blogs,Pro-Science,High,United States,"615,551"
Sciencing,Left-Center,High,United States,0
Scientific American,Pro-Science,High,United States,"1,708,847"
Scoopnest,Least Biased,High,,"6,696,015"
ScoopWhoop,Left-Center,High,,"9,223"
SCOTUSblog,Least Biased,High,United States,"1,526,573"
Scroll.in,Left-Center,High,,"430,289"
Seattle Post-Intelligencer,Left-Center,High,United States,"312,815"
Seattle Times,Left-Center,High,United States,"1,942,916"
Seeker Daily,Pro-Science,High,,"150,928"
Sentencing Project,Left-Center,High,,"106,109"
SFGate,Left-Center,High,United States,"3,423,720"
Shadow Proof,Left,High,,"2,259,860"
Shame Project,Left-Center,High,,"2,844"
Shareably,Least Biased,High,,"2,644"
Shorenstein Center,Least Biased,High,United States,"21,355"
Shreveport Times,Least Biased,High,United States,"7,014"
Simple Politics,Least Biased,High,,669
Sioux City Journal,Least Biased,High,United States,"23,808"
SkepticInk,Pro-Science,High,,"19,136"
Skeptic Magazine,Pro-Science,High,,"363,945"
Sky News,Least Biased,High,United Kingdom,"5,615,938"
Slate,Left,High,United States,"3,020,176"
Sludge,Left,High,United States,"12,622"
Snopes,Least Biased,High,United States,"3,686,779"
Socialist Standard,Left,High,,"68,921"
SocialistWorker.org,Left,High,,"470,970"
SOFREP,Right-Center,High,United States,"37,977"
Sojourners,Left-Center,High,,"599,593"
SooToday.com,Left-Center,High,,"795,830"
The Source Newspaper (La Source),Left,High,,330
SourceWatch,Left,High,United States,"176,673"
South Florida Sun-Sentinel,Right-Center,High,United States,"1,200,020"
Southern Poverty Law Center,Left,High,United States,"1,650,977"
Space.com,Pro-Science,High,United States,"3,289,458"
Special Broadcasting Service,Left-Center,High,,"1,071,987"
Spectrum News - NY1,Least Biased,High,United States,"52,190"
Spectrum Report,Least Biased,High,United States,"122,665"
Spiegel Online,Left-Center,High,Germany,"8,964,884"
St. Cloud Times,Least Biased,High,United States,"852,728"
St. Paul Pioneer Press,Left-Center,High,United States,"408,612"
St. Pete for Peace,Left,High,United States,75
Star Ledger,Left-Center,High,United States,"7,579,582"
Fort Worth Star-Telegram,Right-Center,High,United States,"1,313,298"
Stars and Stripes,Least Biased,High,United States,"362,446"
STAT (News),Least Biased,High,United States,"154,051"
Staten Island Advance,Left-Center,High,United States,"2,545,538"
Statesman Journal,Right-Center,High,United States,"1,086,064"
Stimson Center,Least Biased,High,United States,238
Stock News USA,Least Biased,High,United States,"23,065"
Stock News Daily,Left-Center,High,United States,"1,651"
Stop Fake,Left-Center,High,Ukraine,"98,675"
StrategyPage,Least Biased,High,,"697,875"
Stratfor,Least Biased,High,United States,"895,928"
Student Daily News,Right-Center,High,,"37,993"
Stuff,Left-Center,High,,"1,157,679"
Sunlight Foundation,Left-Center,High,United States,"721,724"
SWI - Swissinfo.ch,Left-Center,High,,"3,335,592"
Tablet Magazine,Left-Center,High,United States,"162,137"
Taipei Times,Least Biased,High,,"2,869,951"
Taiwan News,Least Biased,High,Taiwan,"31,545"
Take Part,Left,High,,"63,373"
Tallahasee Democrat,Right-Center,High,United States,"474,428"
Tampa Bay Times,Left-Center,High,United States,"2,304,736"
Tampa Tribune,Right-Center,High,United States,"179,572"
Tarbell,Left-Center,High,United States,"9,214"
Task and Purpose,Least Biased,High,United States,"85,297"
Tax Justice Network,Left-Center,High,United States,"36,131"
Tax Policy Center,Left-Center,High,United States,"1,310,731"
Tea Party Patriots,Right,High,United States,"255,856"
Tea Party Tribune,Right,High,United States,"293,007"
TechCrunch,Left-Center,High,United States,"6,330,407"
Techdirt,Left-Center,High,United States,"1,501,169"
Texas Monthly,Left-Center,High,United States,"169,722"
Texas Standard,Least Biased,High,United States,"161,003"
Texas Tribune,Left-Center,High,United States,"501,464"
Tharawat Magazine,Right-Center,High,,"26,294"
That's Nonsense,Least Biased,High,,"8,842"
The Age (Australia),Left-Center,High,Australia,"7,455,360"
The Algemeiner Journal,Right-Center,High,,"169,712"
The American Conservative,Right-Center,High,United States,"1,631,341"
The American Interest,Right-Center,High,,"236,134"
The American Prospect,Left,High,United States,"808,455"
The Asahi Shimbun,Left-Center,High,,"5,922,061"
Atlantic,Left-Center,High,United States,"2,576,226"
The Auburn Citizen,Least Biased,High,United States,"35,026"
The Augusta Chronicle,Right-Center,High,United States,"686,927"
The Austin Chronicle,Left,High,United States,"922,366"
The Australian Finacial Review,Least Biased,High,Australia,"3,438,778"
The Australian,Right-Center,High,Australia,"6,474,571"
The Automatic Earth,Left-Center,High,,"459,555"
The Baffler,Left-Center,High,,"102,158"
The Balance,Least Biased,High,,"122,685"
Bangkok Post,Least Biased,High,Thailand,"4,071,416"
Baxter Bulletin,Least Biased,High,United States,"481,326"
The Budapest Beacon,Left-Center,High,Romania,"24,352"
The Bulwark,Right-Center,High,United States,"77,143"
The Bureau of Investigative Journalism,Least Biased,High,,"83,166"
The Burning Spear,Left,High,,"7,070"
The Canadian Press,Least Biased,High,Canada,"215,290"
The Canary (UK),Left,High,United Kingdom,"65,889"
Center on Budget and Policy Priorities,Left-Center,High,United States,"207,202"
The Century Foundation,Left-Center,High,United States,"59,891"
Chicago Reporter,Left-Center,High,United States,"5,746"
The China Post,Least Biased,High,China,"902,351"
The Christian Left,Left-Center,High,,"18,756"
The Chronicle of Higher Education,Least Biased,High,United States,"725,194"
The Cipher Brief,Least Biased,High,,"25,375"
The Citizen,Left-Center,High,,"1,625"
The City,Left-Center,High,United States,0
The Climate Reality Project,Left,High,,"254,779"
The Colorado Sun,Left-Center,High,United States,0
The Conversation,Least Biased,High,United States,"592,753"
The Council of Canadians,Left-Center,High,Canada,"63,593"
The Courier-Journal,Left-Center,High,United States,"1,028,462"
The Courier Mail,Right-Center,High,United States,"1,242,376"
Covid Tracking Project,Least Biased,High,United States,0
The Daily Buzz,Left,High,,"6,439"
The Daily Centrist,Least Biased,High,United States,15
The Daily Chronicle,Least Biased,High,United States,"362,775"
The Daily Climate,Left-Center,High,,"93,682"
The Daily Gazette,Least Biased,High,United States,"1,201,632"
The Daily News (Longview),Least Biased,High,United States,"22,911"
The Daily Northwestern,Least Biased,High,United States,"119,191"
The Daily Progress,Least Biased,High,,"173,291"
The Daily Tarheel,Left-Center,High,United States,"138,861"
The Daily Vox,Left,High,United States,"31,313"
Des Moines Register,Least Biased,High,United States,"1,259,246"
The Diplomat Magazine,Least Biased,High,Japan,"506,929"
The Dispatch,Right-Center,High,United States,0
The Durango Herald,Right-Center,High,United States,"2,747,340"
The Economic Times,Left-Center,High,,"6,991,444"
The Economist,Least Biased,High,United Kingdom,"7,175,952"
The Establishment,Left,High,,"7,124"
The Express-Times (Lehigh Valley),Left-Center,High,United States,"2,574,194"
The Fiscal Times,Right-Center,High,,"239,313"
The Flip Side,Least Biased,High,United States,0
The Forward,Left-Center,High,United States,"402,068"
The Frisky,Left,High,,"156,082"
The Fucking News,Left,High,,725
The Gazette (Cedar Rapids),Right-Center,High,United States,"1,941,796"
The Globe and Mail (Toronto),Right-Center,High,Canada,"4,000,692"
The Guardian,Left-Center,High,United Kingdom,"8,715,772"
Hartford Courant,Left-Center,High,United States,"1,706,145"
The Herald (Everett),Left-Center,High,United States,"70,847"
"The Herald-Sun (Durham, North Carolina)",Least Biased,High,United States,"73,243"
The Hill Talk,Left-Center,High,United States,464
Hindu Business Line,Right-Center,High,India,"1,154,965"
The Hindu,Left-Center,High,India,6
The Humanist Magazine,Least Biased,High,,"58,183"
The Independent Review,Right-Center,High,United States,"296,661"
The Independent,Left-Center,High,United Kingdom,"8,236,344"
The Indian Express,Least Biased,High,India,"3,386,775"
The Indypendent,Left,High,,"96,607"
The Intellectualist,Left,High,United States,"1,042"
The Intercept,Left-Center,High,United States,"1,059,871"
Interpreter Magazine,Left-Center,High,United States,"59,223"
The Irish Times,Left-Center,High,Ireland,"2,094,396"
The Irrawaddy,Left-Center,High,,"253,026"
The Jack News,Right-Center,High,,66
The Jakarta Post,Least Biased,High,Indonesia,"2,227,115"
The Japan News,Right-Center,High,Japan,"955,103"
Jerusalem Post,Right-Center,High,Israel,"3,400,640"
The Jewish Press,Right-Center,High,Israel,"243,685"
The Jordan Times,Least Biased,High,Jordan,"682,919"
The Journal News,Left-Center,High,,"1,065,382"
The Knife,Least Biased,High,United States,437
The Ledger,Right-Center,High,,"223,563"
The Libertarian Republic,Right-Center,High,United States,"61,834"
The Lily,Left,High,,"6,206"
The Local (Norway),Left-Center,High,Norway,"875,266"
The Macon Telegraph,Least Biased,High,United States,"798,437"
Manila Times,Right-Center,High,Philippines,"426,113"
The Marshall Project,Least Biased,High,,"88,741"
The Meme Policeman,Least Biased,High,United States,"2,245"
The Middle East in London,Least Biased,High,United Kingdom,"913,941"
The Militant,Left,High,United States,"41,100"
The Millennial Review,Right,High,,5
The Moderate Voice,Left-Center,High,United States,"1,213,776"
The Modesto Bee,Least Biased,High,United States,"1,449,895"
The Monthly (Australia),Left-Center,High,Australia,"80,801"
The Morning Call,Least Biased,High,,"971,414"
The Nation Institute,Left-Center,High,,"46,724"
The Nation Pakistan,Right-Center,High,Pakistan,"2,680,449"
The Nation,Left,High,United States,"3,425,379"
The National Memo,Left,High,United States,"100,165"
The National (UAE),Right-Center,High,United Arab Emirates,"577,766"
The Nevada Independent,Least Biased,High,United States,"12,324"
The New Arab,Left-Center,High,,"559,317"
The New Atlantis,Right-Center,High,,"216,830"
The New Tropic,Left-Center,High,,813
The News International,Least Biased,High,,"1,251,344"
The News Lens,Right-Center,High,,"2,010,124"
The News (Mexico City),Least Biased,High,Mexico,"640,733"
The News-Times (Danbury),Left-Center,High,United States,"1,474,647"
The News Tribune,Left-Center,High,United States,"595,927"
The Next Web (TNW),Left-Center,High,,"1,685,446"
The Objective Standard,Right-Center,High,,"151,947"
The Observatory,Least Biased,High,,825
The Oklahoman,Right-Center,High,United States,"21,135"
The Olympian,Left-Center,High,United States,"1,283,712"
The Oslo Times,Left-Center,High,Norway,"21,516"
The Outline,Left,High,,"38,303"
The Outlook (Monmouth University),Least Biased,High,United States,"30,028"
The Palestine Chronicle,Left,High,United States,"266,818"
The Palm Beach Post,Left-Center,High,United States,"1,185,904"
The Pantagraph,Least Biased,High,,"47,086"
The Patriot-News,Left-Center,High,United States,"1,763,226"
The Phnom Penh Post,Least Biased,High,Cambodia,"1,661,126"
The Plain Dealer,Left-Center,High,United States,"5,674,593"
The Post and Courier,Least Biased,High,,"133,565"
"The Post-Journal (Jamestown, New york)",Right-Center,High,United States,"3,087"
The Post-Standard (Syracuse),Least Biased,High,United States,"2,529,494"
The Post Star,Least Biased,High,,"28,618"
The Press Democrat,Left-Center,High,United States,"399,189"
The Press-Enterprise,Right-Center,High,United States,"551,914"
The Progressive,Left,High,United States,"356,080"
Providence Journal,Left-Center,High,United States,"1,847,115"
The Pulse,Left-Center,High,United States,"18,261"
The Record (New Jersey),Left-Center,High,United States,"246,562"
The Republic (Indiana),Least Biased,High,United States,"2,290"
The Ringer,Left-Center,High,,"106,091"
The Root,Left,High,United States,"10,043,862"
The Saturday Paper,Left-Center,High,,"336,370"
The Scotsman,Least Biased,High,United Kingdom,"790,651"
The Sentinel (Pennsylvania),Least Biased,High,United States,"18,944"
The Skimm,Left-Center,High,United States,"46,166"
The Smoking Gun,Right-Center,High,United States,"1,569,169"
The Sociable,Least Biased,High,,"18,267"
The Sorrentino,Right-Center,High,United States,6
The Southern Illinoisan,Least Biased,High,United States,"52,326"
The Spectator (USA),Right-Center,High,United States,"268,206"
The Spokesman-Review,Right-Center,High,United States,"1,147,225"
The State Press (Arizona),Left-Center,High,United States,818
The State,Left-Center,High,,"1,524,020"
The Stranger,Left-Center,High,,"3,822,921"
The Strategy Bridge,Least Biased,High,,"2,622"
The Sumter Item,Right-Center,High,United States,"322,297"
The Sun Magazine,Left-Center,High,United States,"43,404"
The Swedish Wire,Least Biased,High,Sweden,"55,345"
The Sydney Morning Herald,Left-Center,High,Australia,"9,413,386"
The Tab,Left-Center,High,,"39,420"
The Tennessean,Right-Center,High,United States,"1,248,168"
The Texas Observer,Left,High,United States,"87,017"
The Times and Democrat,Least Biased,High,United States,"13,913"
The Times Herald (Port Huron),Right-Center,High,United States,"412,227"
The Times (Illinois),Least Biased,High,United States,"365,715"
The Times UK and Sunday Times,Right-Center,High,United Kingdom,"12,448,430"
Times-Picayune,Left-Center,High,United States,"1,740,691"
The Town Talk,Least Biased,High,United States,"592,608"
The Trace,Left-Center,High,,"15,322"
Transpartisan Review,Least Biased,High,United States,30
The Truth About Guns,Right,High,United States,"199,439"
The TruthSetter,Least Biased,High,,27
The Tyee,Left-Center,High,Canada,"277,313"
The Varsity,Left-Center,High,United States,"34,036"
The Verge,Left-Center,High,United States,"2,862,457"
The Village Voice,Left,High,United States,"1,041,077"
The Vindicator,Least Biased,High,United States,"3,019"
The Virginian-Pilot,Left-Center,High,United States,"117,274"
The Walrus,Left,High,Canada,"57,280"
The Waterloo-Cedar Falls Courier,Least Biased,High,United States,"17,918"
The Week UK,Left-Center,High,United Kingdom,"604,188"
The Week,Left,High,United States,"1,862,527"
The West Australian,Right-Center,High,Australia,"710,200"
The Wilderness Society,Left-Center,High,United States,"756,361"
The Wire - India,Left-Center,High,India,"207,101"
The Zero Hour,Left-Center,High,,"5,414"
The Improper Magazine,Left,High,,"63,367"
TheJournal.ie,Least Biased,High,Ireland,"2,146,651"
Them.us,Left,High,United States,0
TheStreet,Right-Center,High,United States,0
Think Progress,Left,High,United States,"3,549,198"
Third Way,Least Biased,High,United States,"55,322"
This Magazine,Left,High,Canada,"25,319"
Thomson Reuters Foundation,Left-Center,High,United Kingdom,"562,953"
Thrillist,Left-Center,High,United States,"221,330"
Time Magazine,Left-Center,High,United States,"5,985,276"
Times-News (Idaho),Least Biased,High,United States,"46,879"
Times News (Pennsylvania),Right-Center,High,United States,"115,716"
The Times of India,Right-Center,High,India,"10,788,866"
Times of Israel,Left-Center,High,Israel,"1,291,282"
Times of San Diego,Least Biased,High,United States,"8,282"
To Inform is to Influence,Left-Center,High,United States,"4,322"
Today I Found Out,Least Biased,High,,"80,755"
Toledo Blade,Right-Center,High,United States,"810,509"
Tomdispatch.com,Left-Center,High,United States,"854,809"
Topeka Capital-Journal,Right-Center,High,United States,"97,258"
Toronto Star,Left-Center,High,Canada,"5,516,206"
TreeHugger,Left,High,United States,"1,405,766"
Tri-City Herald,Least Biased,High,United States,0
Tribune Magazine UK,Left,High,United Kingdom,"29,114"
Tribune Content Agency,Least Biased,High,United States,"112,014"
Truth Against the Machine,Left,High,,"8,073"
Truth Be Told,Least Biased,High,,618
TruthDig,Left,High,United States,"2,005,299"
TVW Washington State,Least Biased,High,United States,"1,549,256"
Undark,Least Biased,High,,"29,880"
Understanding Reality Through Science,Pro-Science,High,United States,577
Unicorn Riot,Left-Center,High,,"39,965"
Union of Concerned Scientists,Left-Center,High,United States,"390,052"
United Federation of Teachers,Left-Center,High,United States,"230,715"
United Nations Environment Programme (UNEP),Pro-Science,High,Kenya,877
United Press International (UPI),Least Biased,High,United States,"1,801,004"
University Business,Left-Center,High,United States,"36,556"
Upworthy,Left,High,United States,"107,186"
Urban Institute,Left-Center,High,United States,"632,511"
US Department of Energy - Office of Science,Pro-Science,High,United States,"3,278,798"
Government Accountability Office (GAO),Least Biased,High,United States,"175,944"
UsNews and World Report,Left-Center,High,United States,"1,396,368"
USA Today,Left-Center,High,United States,"16,253,014"
Utah Public Radio (UTR),Left-Center,High,United States,"3,812"
Utah Standard-Examiner,Least Biased,High,United States,"38,950"
Utica Observer-Dispatch,Left-Center,High,United States,"325,682"
ValueWalk,Right-Center,High,,"735,542"
Vancouver Sun,Right-Center,High,Canada,"412,481"
Variety Magazine,Left-Center,High,United States,"3,887,487"
Vermont Independent,Left,High,United States,65
Verrit,Left,High,,"1,020"
Vice News,Left-Center,High,United States,"929,674"
Victoria Advocate,Left-Center,High,United States,0
Viral Thread,Least Biased,High,,"8,985"
Virginia Mercury,Left-Center,High,United States,"1,627"
Vocativ,Least Biased,High,,"27,183"
Voice of America,Least Biased,High,United States,"3,297,298"
Voice of San Diego,Least Biased,High,United States,"206,676"
Vos Iz Neias,Least Biased,High,,"92,158"
Vote Smart,Least Biased,High,United States,"3,432,156"
Vote Vets,Left-Center,High,United States,"73,116"
Vulture,Left-Center,High,United States,"7,149,462"
Waco Tribune-Herald,Least Biased,High,United States,"36,137"
WalesOnline,Left-Center,High,United Kingdom,0
Wall Street on Parade,Left,High,United States,"199,411"
War on the Rocks,Least Biased,High,United States,"72,801"
Washington Babylon,Left,High,United States,"21,153"
Washington Blade,Left-Center,High,United States,"218,054"
Washington Monthly,Left-Center,High,United States,"3,418,140"
Washington Post,Left-Center,High,United States,"14,466,517"
Washingtonian,Left,High,United States,"2,898"
Washington's Top News (WTOP),Least Biased,High,United States,"724,807"
The World Can't Wait,Left,High,,"6,340"
The ZDF (Zweites Deutsches Fernsehen),Least Biased,High,Germany,"1,372,496"
Media Bias/Fact Check,Least Biased,Very High,United States,"60,403"
Africa Check,Least Biased,Very High,South Africa,"20,512"
Air and Space Mag,Pro-Science,Very High,United States,"1,445,278"
American Academy of Pediatrics,Pro-Science,Very High,United States,"400,951"
American association for the advancement of science.,Pro-Science,Very High,United States,"1,301,481"
American Geophysical Union (AGU),Pro-Science,Very High,United States,"344,533"
American Journal of Archaeology,Pro-Science,Very High,United States,"29,861"
American Physical Society (APS),Pro-Science,Very High,United States,"568,165"
American Press Institute (API),Least Biased,Very High,United States,"29,483"
American Psychoanalytic Association,Pro-Science,Very High,United States,"34,692"
American Psychological Association,Pro-Science,Very High,United States,"464,392"
American Scientist,Pro-Science,Very High,United States,"136,763"
Anxiety and Depression Association of America (ADAA),Pro-Science,Very High,United States,"82,717"
Archaelogy Magazine,Pro-Science,Very High,United States,"151,111"
Associated Press,Least Biased,Very High,United States,"5,778,215"
Astronomy Magazine,Pro-Science,Very High,United States,"442,683"
Atavist Magazine,Left-Center,Very High,United States,"2,857"
Autistic Self Advocacy Network (ASAN),Pro-Science,Very High,United States,"23,861"
Ballotpedia,Least Biased,Very High,United States,"57,765"
BioMedical Central (BMC),Pro-Science,Very High,United Kingdom,"4,043,365"
Biotechnology Innovation Organization (BIO),Pro-Science,Very High,United States,"559,269"
Brookings Institute,Left-Center,Very High,United States,"946,810"
Bulletin of Atomic Scientists,Least Biased,Very High,United States,"181,001"
C-Span,Least Biased,Very High,United States,"8,228,481"
Center for Responsive Politics,Least Biased,Very High,United States,"6,313,537"
Center for strategic and International studies,Least Biased,Very High,United States,"330,531"
Centers for Disease Control (CDC),Pro-Science,Very High,United States,"10,301,213"
Charity Navigator,Least Biased,Very High,United States,0
Climate Action Tracker,Pro-Science,Very High,United States,"26,489"
Climate Central,Pro-Science,Very High,United States,"250,342"
Climate Feedback,Pro-Science,Very High,United States,"7,081"
Cochrane,Pro-Science,Very High,United States,"1,676,881"
Committee for a Responsible Federal Buddget,Least Biased,Very High,United States,"10,395"
Committee for Skeptical Inquiry,Pro-Science,Very High,United States,"144,989"
Committee to Protect Journalists,Least Biased,Very High,United States,"294,557"
Congress.gov,Least Biased,Very High,United States,"3,414,418"
Congressional Budget Office (CBO),Least Biased,Very High,United States,"173,271"
Contrail Science,Pro-Science,Very High,United States,"7,888"
Cosmos Magazine,Pro-Science,Very High,Australia,"171,228"
DifferenceBetween.net,Least Biased,Very High,United States,"41,021"
Doubtful News,Pro-Science,Very High,United States,"37,493"
Earth Magazine,Pro-Science,Very High,United States,"64,393"
Earth & Sky,Pro-Science,Very High,United States,"123,317"
Edge Foundation,Pro-Science,Very High,United States,"675,939"
EurekaAlert,Pro-Science,Very High,United States,"1,470,611"
Every CRS Report,Least Biased,Very High,United States,"27,669"
Examine.com,Pro-Science,Very High,Canada,"45,799"
Fact Check,Least Biased,Very High,United States,"1,026,991"
FactsCan,Least Biased,Very High,Canada,634
Federation of American Scientists,Pro-Science,Very High,United States,"343,289"
Frontiers in Psychology,Pro-Science,Very High,United States,806
Gallup,Least Biased,Very High,United States,"472,509"
Genetic Engineering and Biotechnology News (GEN),Pro-Science,Very High,United States,"339,318"
GovTrack,Least Biased,Very High,United States,"733,454"
Hoax Slayer,Least Biased,Very High,Australia,"102,044"
How Stuff Works,Pro-Science,Very High,United States,"1,058,121"
Inside Science,Pro-Science,Very High,United States,"52,834"
Institute for Women's Policy Research (IWPR),Least Biased,Very High,United States,"19,728"
Institute of Physics (IOP),Pro-Science,Very High,United Kingdom,"1,785,944"
International Consortium of Investigative Journalists,Least Biased,Very High,United States,"1,354,367"
International Organization,Least Biased,Very High,United Kingdom,"120,418"
International Press Institute,Least Biased,Very High,Austria,"18,429"
International Renewable Energy Agency,Pro-Science,Very High,United Arab Emirates,"384,054"
Investigative Reporters and Editors,Least Biased,Very High,United States,"201,862"
James Randi Educational Foundation,Pro-Science,Very High,United States,"10,790"
Johns Hopkins Medicine,Pro-Science,Very High,United States,"942,952"
Journal Politics and Society,Left-Center,Very High,United States,722
Jstor Daily,Least Biased,Very High,United States,"71,837"
Jstor,Pro-Science,Very High,United States,"3,045,894"
KUOW NPR,Left-Center,Very High,United States,"79,544"
Lawfare Blog,Least Biased,Very High,United States,"1,348,394"
Lima Charlie News,Least Biased,Very High,United States,"5,682"
Mayo Clinic,Pro-Science,Very High,United States,"1,228,074"
Medical Daily,Pro-Science,Very High,United States,"94,665"
Medscape,Pro-Science,Very High,United States,"4,829,832"
MIT Technology Review,Pro-Science,Very High,United States,"790,567"
Morning Consult,Least Biased,Very High,United States,"56,399"
NASA,Pro-Science,Very High,United States,"7,466,978"
National Academy of Sciences (NAS),Pro-Science,Very High,United States,760
National Centers for Environmental Information (NCEI),Pro-Science,Very High,United States,"3,098,911"
National Oceanic and Atmospheric Admin.,Pro-Science,Very High,United States,"21,282,518"
NationMaster,Least Biased,Very High,Australia,"746,239"
Nature,Pro-Science,Very High,United Kingdom,"3,156,965"
Nautilus Magazine,Pro-Science,Very High,United States,"96,797"
New Europe,Left-Center,Very High,Belgium,"140,898"
News Lookup,Least Biased,Very High,United States,"87,732"
Oceana,Pro-Science,Very High,,"177,300"
Pan American Health Organization,Pro-Science,Very High,,"2,283,714"
PBS News Hour,Left-Center,Very High,United States,"14,089,906"
Pew Research,Least Biased,Very High,United States,"567,719"
Political Psychology Journal,Pro-Science,Very High,,"6,800"
Polygraph.info,Least Biased,Very High,,"28,264"
Proceedings of the National Academy of Sciences (PNAS),Pro-Science,Very High,,"804,618"
Project on Government Insight,Least Biased,Very High,,"33,007"
Psypost,Pro-Science,Very High,United States,"69,595"
Public Library of Science,Pro-Science,Very High,,"702,358"
Public Policy Polling,Least Biased,Very High,United States,"130,660"
Public Religion Research Institute,Least Biased,Very High,United States,"36,503"
Pubmed,Pro-Science,Very High,United States,"6,818,301"
Quanta Magazine,Pro-Science,Very High,,"98,779"
RealClimate,Pro-Science,Very High,,"1,801,237"
Reporters Lab,Least Biased,Very High,,"1,859"
Reuters,Least Biased,Very High,United Kingdom,"23,475,755"
Roll Call,Least Biased,Very High,United States,"2,390,580"
Science Daily,Pro-Science,Very High,United States,"1,810,919"
Science Debate,Least Biased,Very High,,"4,669"
Science Illustrated,Pro-Science,Very High,,484
Science Magazine,Pro-Science,Very High,United States,"2,270,541"
Scripps Institution of Oceanography,Pro-Science,Very High,United States,"498,421"
SingularityHub,Pro-Science,Very High,United States,"602,415"
Skeptical Science,Pro-Science,Very High,Australia,"662,878"
Skeptoid,Pro-Science,Very High,,"141,847"
Sky and Telescope,Pro-Science,Very High,United States,"1,673,853"
Smithsonian Magazine,Pro-Science,Very High,United States,"1,884,086"
Society for Science,Pro-Science,Very High,,"112,388"
TechXplore,Pro-Science,Very High,,"673,885"
The American Association for the Advancement of Science (AAAS),Pro-Science,Very High,United States,"407,895"
Belfer Center for Science and International Affairs,Least Biased,Very High,United States,"396,514"
The BMJ (British Medical Journal),Pro-Science,Very High,United Kingdom,"1,126,366"
The Fake News Codex,Least Biased,Very High,United States,364
The Scientist,Pro-Science,Very High,,"2,814,239"
The Skeptics Dictionary,Pro-Science,Very High,,"160,232"
The Wachers,Pro-Science,Very High,,"80,338"
ThoughtCo,Least Biased,Very High,United States,"89,445"
Transparency International,Least Biased,Very High,Germany,"776,624"
TruthorFiction.com,Least Biased,Very High,United States,"125,662"
Turkey and Facts,Least Biased,Very High,Turkey,"43,502"
United State House of Representatives,Least Biased,Very High,United States,"4,485,573"
Universe Today,Pro-Science,Very High,,"513,527"
USAFacts,Least Biased,Very High,United States,"6,208"
USA Spending,Least Biased,Very High,United States,"582,559"
Vera Files,Least Biased,Very High,,"14,514"
